Run,Zone 001,Zone 002,Zone 003,Zone 004,Zone 005,Zone 006,Zone 007,Zone 008,Zone 009,Zone 010,Zone 011,Zone 020,Zone 021,Zone 022,Zone 023,Zone 024,Zone 025,Zone 026,Zone 027,Zone 028,Zone 029,Zone 030,Series
KhKv_Calibration,42.91344617967484,26.06653998815727,4.142717,99.99999220555556,1.0,1.0,1.0,6.53301302021773,1.0,1.0,2.042871,49.465890204627996,1.437181,49.99999999078553,50.00000023166024,50.0,0.7239893,50.00000001891892,0.9788944,49.99999957957958,6.840173995735608,0.7602715,Calibration
KhKv_Avg,30.93578335900168,32.144127619676155,5.760351230436899,76.98081766969698,1.2835464234959892,1.646368551519456,1.488601809851503,8.567521677152552,1.3568484757471444,1.7124921196942593,4.8334120211038964,36.70426774418671,1.674625836231734,35.568058643379196,40.27366719091494,34.78189875784876,0.8017010850003262,32.693407197223586,1.435257490419316,40.864307410865415,8.914120754797441,0.6485936998068109,IES Realization Average
KhKv_Base,30.937218024459685,32.21947598270962,5.727613829317269,76.85350619444444,1.2869572039705883,1.654412490340909,1.505691217131474,8.545935262830483,1.3588026893287435,1.7115047906976744,4.985072910714286,36.56480421252465,1.6584860415931721,35.634791718498036,40.12368298841699,34.61136867867868,0.7890714732519741,32.60676859216216,1.4427164885066164,41.042482654654656,9.065014265103057,0.6580701013691792,IES Realization Base
KhKv_fromMS,14.462114203684504,8.481999052581715,6.028915662650603,9.933055555555555,13.0,22.09086174242424,23.919820717131476,4.636158631415241,9.834423407917384,11.485867620751343,10.0,8.678146726159593,4.948108108108108,9.646717346233586,4.430019305019305,14.80905190905191,14.444249820531228,32.116324324324324,5.3837051039697545,15.559219219219218,4.737953091684435,91.24188832632105,Matrix Solutions
KhKv_Run000,31.2535729886309,32.32247242681194,5.689170817269076,77.90142739444444,1.259464360367647,1.5927140414772727,1.4533170742031873,8.667591251166408,1.344050548192771,1.66377471019678,4.402361017857143,37.29190904499844,1.7074043670839258,35.96874802810412,40.438413238416985,35.54834937365938,0.8170909230868628,33.00966264621621,1.409535147674858,41.1498305045045,8.67393283724236,0.6343008136632675,IES Realization Average
KhKv_Run001,30.778036606569216,31.853143697773568,5.714372739625167,76.5293715388889,1.29420778125,1.6769786037878787,1.4977532041832669,8.419572946345257,1.3568911583476764,1.733723305903399,4.895587107142857,36.46158169298537,1.66409421428165,35.419112156185214,40.33702072522522,34.49538033891034,0.7917854424407753,32.48952714567567,1.445368039678639,40.572005993994,8.950477285714285,0.6472963779433787,IES Realization Average
KhKv_Run002,31.385783759003335,32.87949247678825,6.018710348728247,78.06322568333333,1.2637709566176472,1.566071359090909,1.4939568002988048,8.730183475894245,1.3669783098106711,1.7274179731663686,5.121448910714285,37.19594666475044,1.6597228381223328,36.258393112186134,39.90284824646075,35.023362127842134,0.8186164894759512,32.90880710324324,1.3931953919470699,42.254866312312316,8.944900853589198,0.6384520619767525,IES Realization Average
KhKv_Run003,31.077707659870345,31.72220270985315,5.845230679384203,77.77695140555556,1.255203890882353,1.591271361032197,1.4226683496015935,8.541570968895801,1.3393820826161789,1.6849515313059036,4.273165553571428,37.2199171338072,1.723246080341394,35.70236068878138,40.80639016023166,35.821756683826685,0.8318664848671931,33.245461426486486,1.3997002091115311,40.64591885285285,8.388185473347548,0.6178593373885759,IES Realization Average
KhKv_Run004,30.922254514866758,31.761312072714354,5.65447333935743,76.74470937222223,1.295320402867647,1.6619577094223486,1.5028035244023905,8.509689553654743,1.3571144948364888,1.70897314490161,4.90531,36.624786516872476,1.6360561881934566,35.557971640175076,40.267779266087516,34.41625338481339,0.7798766590524049,32.72442997891892,1.4400846646124763,40.80859517117117,9.112013945984364,0.6599531392426727,IES Realization Average
KhKv_Run005,30.7665158819449,32.108602144007584,5.700188026104417,76.63804957777778,1.289601858014706,1.6782848812973483,1.4824969462151396,8.439545051321929,1.350770156626506,1.7295730089445438,4.611027053571428,36.548950372429175,1.6994835179231862,35.26579945173923,40.46673824774775,34.69647097383098,0.7953402618234028,32.50278656756757,1.451026766672968,40.33306756756757,8.86829318976546,0.6393647443628325,IES Realization Average
KhKv_Run006,30.71533963686783,32.29037315632402,5.417439768406961,76.06236644444444,1.3029067511029413,1.7258796535984848,1.501640015438247,8.816398011664075,1.3600824638554216,1.6450708389982112,4.6428746428571435,36.361308780823904,1.721650726002845,35.21233569454043,40.140814824002575,33.96933250965251,0.7957291415506103,32.22435198081081,1.5062217383175802,40.069447765765766,9.13383979246624,0.6699548406475078,IES Realization Average
KhKv_Run007,30.6167012102429,32.008828923022264,5.811141949129853,76.18026363333333,1.3023379958823529,1.6941164713068182,1.5072825697211154,8.496999104199066,1.3647126497418243,1.7551323989266547,5.06883975,36.295264137983814,1.6670896618776672,35.06566220686478,40.266991804375806,34.34843995280995,0.802527004350323,32.354649380270274,1.4554186994328924,40.32410790990991,8.971915718550106,0.6532412582186408,IES Realization Average
KhKv_Run008,30.920243333281306,32.20975011321649,5.892761018741633,77.0195615611111,1.28461972875,1.6341837476799241,1.5035051035856573,8.537626411353031,1.363274339931153,1.7386458067978534,5.130922642857143,36.59123831443914,1.6418252815647225,35.58173519004837,40.12982979954955,34.83508615615615,0.7984040275520459,32.780517174054054,1.4222826243289226,41.1535293933934,8.97337747050462,0.6580190115310561,IES Realization Average
